id_lokasi,nama_lokasi,kategori_utama,alamat,Latitude,Longitude,judul_drama,rating_gmaps,total_ulasan,ulasan_keyword_drama,ulasan_keyword_budaya,rasio_pengaruh_drama,deskripsi_popup
SEL-001,Gyeongbokgung Palace,Keduanya,"161 Sajik-ro, Jongno District, Seoul, South Korea",37.57977852,126.9770195,"Kingdom, Goblin",4.6,48500,2100,15400,4.33,Istana utama Dinasti Joseon. Sering dikunjungi turis karena sejarahnya dan juga sebagai lokasi syuting 'Kingdom'.
SEL-002,Bukchon Hanok Village,Keduanya,"Gyedong-gil, Jongno District, Seoul, South Korea",37.58165663,126.9849304,"True Beauty, Personal Taste",4.5,32100,3500,11200,10.9,Desa tradisional Korea di tengah kota. Sangat populer bagi penggemar KDrama 'True Beauty'.
SEL-003,Jongmyo Shrine,Budaya,"South Korea, Seoul, Jongno District, Jong-ro, 157 종묘관리소",37.57482685,126.9938587,-,4.5,8900,50,5200,0.56,Kuil Konfusianisme tertua di Seoul. Fokus utama wisatawan adalah murni warisan budaya dan sejarah.
SEL-004,Noksapyeong Overpass,Lokasi Syuting,"yongsan-dong 2(i)-ga, Yongsan District, Seoul, South Korea",37.53543562,126.9875441,Itaewon Class,4.4,1200,950,10,79.17,Jembatan penyeberangan ikonik dari drama 'Itaewon Class' dengan pemandangan Namsan Tower.
SEL-005,Deoksugung Stonewall Walkway,Keduanya,"99 Sejong-daero, Jung District, Seoul, South Korea",37.56504336,126.9755343,"Goblin, Extraordinary Attorney Woo",4.7,15400,4800,4100,31.17,Jalan setapak bersejarah yang sangat ikonik berkat drama 'Goblin'. Perpaduan sempurna budaya dan pop-culture.
SEL-006,BBQ Olive Chicken (Cheonggyecheon),Lokasi Syuting,"Ewhayeodae 3-gil, Seodaemun-gu, Seoul, South Korea",37.55823306,126.9439576,"Crash Landing on You, Goblin",4.2,2100,1600,5,76.19,Restoran ayam goreng yang mendadak jadi destinasi turis internasional karena syuting KDrama.
SEL-007,Changdeokgung Palace,Budaya,"4-1 Waryong-dong, Jongno District, Seoul, South Korea",37.57807012,126.9894818,Kingdom,4.7,18200,800,8500,4.4,Situs Warisan Dunia UNESCO dengan Secret Garden. Populer untuk wisata sejarah dengan sedikit pengaruh drama kolosal.
SEL-008,N Seoul Tower (Namsan),Keduanya,"105 Namsangongwon-gil, Yongsan District, Seoul, South Korea",37.55138202,126.9882266,"My Love from the Star, True Beauty",4.6,65000,12000,2000,18.46,"Ikon kota Seoul. Sangat sering muncul di drama romantis; ulasan budaya minim, dominan pop-culture dan pemandangan."
SEL-009,Cheonggyecheon Stream,Keduanya,"Jongno District, Seoul, South Korea",37.56925454,126.9787121,"Vincenzo, Goblin",4.6,28000,4500,1500,16.07,Aliran air restorasi kota. Sering jadi tempat syuting adegan romantis atau berjalan santai di drama.
SEL-010,Starfield Library (COEX),Lokasi Syuting,"South Korea, Seoul, Gangnam District, Yeongdong-daero, 513 스타필드 코엑스몰 B1",37.51046567,127.0611484,Record of Youth,4.7,18500,6000,100,32.43,Perpustakaan megah di dalam mal. Populer sebagai spot foto estetis dan lokasi adegan drama modern.
SEL-011,Dongdaemun Design Plaza,Keduanya,"281 Eulji-ro, Jung District, Seoul, South Korea",37.56673818,127.0092021,"Vincenzo, My Love from the Star",4.5,31000,5200,3100,16.77,Pusat arsitektur modern. Mewakili budaya desain kontemporer Korea sekaligus lokasi syuting ikonik.
SEL-012,Ihwa Mural Village,Keduanya,"49 Naksan 4-gil, Jongno District, Seoul, South Korea",37.57815733,127.0071593,"Strong Girl Bong-soon, Encounter",4.3,9500,3800,1200,40,Desa seni dengan mural di lereng bukit. Terkenal karena banyak drama syuting di area tangganya yang ikonik.
SEL-013,Gwanghwamun Square,Keduanya,"172 Sejong-daero, Jongno District, Seoul, South Korea",37.57248251,126.9768688,"The King: Eternal Monarch, Iris",4.6,24000,3100,10500,12.92,Alun-alun dengan patung Raja Sejong. Kental nilai sejarah namun sering jadi latar adegan epik drama fantasi/aksi.
SEL-014,National Museum of Korea,Budaya,"198 Sejong-daero, Jongno District, Seoul, South Korea",37.5239697,126.9804487,-,4.8,21000,120,15000,0.57,Museum nasional terbesar. Pengunjung murni mencari edukasi mengenai sejarah dan artefak budaya Korea.
SEL-015,Banpo Bridge Rainbow Fountain,Lokasi Syuting,"Banpo-dong, Seocho District, Seoul, South Korea",37.51276113,126.9987787,"Start-Up, Boys Over Flowers",4.6,14500,4800,200,33.1,Pertunjukan air mancur bercahaya. Destinasi populer yang sering muncul di adegan romantis pinggir sungai Han.
SEL-016,Namsangol Hanok Village,Budaya,"28 Toegye-ro 34-gil, Jung District, Seoul, South Korea",37.55947657,126.9946487,-,4.5,11200,200,8100,1.79,Alternatif desa tradisional yang lebih tenang. Dominan ulasan tentang pengalaman otentik rumah masa lalu.
SEL-017,Yeouido Hangang Park,Keduanya,"330 Yeouidong-ro, Yeongdeungpo District, Seoul, South Korea",37.52687224,126.9348185,The King: Eternal Monarch,4.6,41000,5500,1200,13.41,"Taman pinggir sungai Han. Bagian dari budaya rekreasi warga Seoul, sekaligus langganan masuk layar kaca."
SEL-018,Gyeonghuigung Palace,Budaya,"45 Saemunan-ro, Jongno District, Seoul, South Korea",37.57143336,126.9682332,-,4.4,4500,50,3200,1.11,Istana kelima yang paling kecil dan tenang. Hampir tidak terpengaruh oleh ulasan pariwisata pop-culture.
SEL-019,Itaewon Antique Furniture Street,Lokasi Syuting,"Itaewon-dong, Yongsan District, Seoul, South Korea",37.53188207,126.9949158,Itaewon Class,4.3,2800,1500,300,53.57,Jalanan unik penuh toko barang antik. Lonjakan jumlah ulasan sangat dipengaruhi kesuksesan drama Itaewon Class.
SEL-020,Seodaemun Prison History Hall,Budaya,"251 Tongil-ro, Seodaemun-gu, Seoul, South Korea",37.57444104,126.9560925,-,4.7,8800,30,7500,0.34,Museum penjara masa penjajahan. Ulasan sangat serius dan murni berfokus pada sejarah kelam pergerakan kemerdekaan.
SEL-021,Yonsei University (Sinchon),Keduanya,"50 Yonsei-ro, Seodaemun-gu, Seoul, South Korea",37.56656376,126.9388675,"Reply 1994, True Beauty, Snowdrop",4.7,6200,2100,800,33.87,Arsitektur kampus klasik yang menjadikannya simbol pendidikan bersejarah sekaligus lokasi favorit drama remaja.
